epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,491.951,1.32539,0.76866,0.99751,0.6142,0.000301591,0.000301591,0.000301591
2,989.111,0.68792,0.82836,1,0.49265,0.000598605,0.000598605,0.000598605
3,1471.84,0.6074,0.86816,0.99751,0.48693,0.00088962,0.00088962,0.00088962
4,1959.88,0.53331,0.8607,1,0.55543,0.000882003,0.000882003,0.000882003
5,2458.83,0.51795,0.84577,0.99751,0.5548,0.000873004,0.000873004,0.000873004
6,2943.52,0.48263,0.85323,0.99751,0.35459,0.000864004,0.000864004,0.000864004
7,3435.69,0.42373,0.88806,1,0.30444,0.000855005,0.000855005,0.000855005
8,3929.42,0.38242,0.86567,1,0.39774,0.000846006,0.000846006,0.000846006
9,4414.64,0.35894,0.87562,0.99751,0.35478,0.000837007,0.000837007,0.000837007
10,4897.92,0.30635,0.89552,0.99751,0.28987,0.000828008,0.000828008,0.000828008
11,5385.4,0.29317,0.91045,0.99751,0.31042,0.000819009,0.000819009,0.000819009
12,5873.19,0.29753,0.88308,1,0.47554,0.00081001,0.00081001,0.00081001
13,6360.08,0.27852,0.93532,0.99751,0.2251,0.000801011,0.000801011,0.000801011
14,6847.32,0.26359,0.9403,1,0.18942,0.000792012,0.000792012,0.000792012
15,7333.54,0.23995,0.94776,0.99502,0.26331,0.000783013,0.000783013,0.000783013
16,7825.19,0.26129,0.93035,0.99751,0.25124,0.000774013,0.000774013,0.000774013
17,8316.71,0.21659,0.93781,1,0.18011,0.000765014,0.000765014,0.000765014
18,8804.97,0.21612,0.93035,0.99751,0.2407,0.000756015,0.000756015,0.000756015
19,9292.46,0.21896,0.93532,0.99751,0.21298,0.000747016,0.000747016,0.000747016
20,9777.36,0.19137,0.93284,1,0.21075,0.000738017,0.000738017,0.000738017
21,10263.8,0.16753,0.9403,1,0.17774,0.000729018,0.000729018,0.000729018
22,10752.1,0.164,0.95274,1,0.14828,0.000720019,0.000720019,0.000720019
23,11239.4,0.16185,0.94776,0.99751,0.16659,0.00071102,0.00071102,0.00071102
24,11727.1,0.17259,0.95771,1,0.18093,0.000702021,0.000702021,0.000702021
25,12212.5,0.17338,0.94279,1,0.18682,0.000693022,0.000693022,0.000693022
26,12700.2,0.15515,0.95522,1,0.1533,0.000684022,0.000684022,0.000684022
27,13183.6,0.12976,0.95522,1,0.1562,0.000675023,0.000675023,0.000675023
28,13668.9,0.12654,0.94776,1,0.19118,0.000666024,0.000666024,0.000666024
29,14158.6,0.15682,0.94776,0.99751,0.21404,0.000657025,0.000657025,0.000657025
30,14650.8,0.1438,0.94279,1,0.19782,0.000648026,0.000648026,0.000648026
31,15142.6,0.13433,0.9602,0.99751,0.15065,0.000639027,0.000639027,0.000639027
32,15629.5,0.12374,0.94776,1,0.18199,0.000630028,0.000630028,0.000630028
33,16118,0.12236,0.94527,1,0.20225,0.000621029,0.000621029,0.000621029
34,16603.8,0.10542,0.9403,1,0.18057,0.00061203,0.00061203,0.00061203
35,17088.5,0.09916,0.9403,0.99751,0.2115,0.000603031,0.000603031,0.000603031
36,17577,0.10335,0.94776,1,0.23252,0.000594031,0.000594031,0.000594031
37,18061.7,0.10703,0.93781,1,0.16275,0.000585032,0.000585032,0.000585032
38,18553,0.11203,0.96269,0.99751,0.1402,0.000576033,0.000576033,0.000576033
39,19038.1,0.12346,0.94776,1,0.22254,0.000567034,0.000567034,0.000567034
40,19520.3,0.11214,0.95522,0.99751,0.17993,0.000558035,0.000558035,0.000558035
41,20005.8,0.09372,0.95771,1,0.15834,0.000549036,0.000549036,0.000549036
